achievement_count,athlete_count,athlete.id,athlete.resource_state,average_speed,comment_count,commute,display_hide_heartrate_option,distance,elapsed_time,elev_high,elev_low,end_latlng1,end_latlng2,external_id,flagged,from_accepted_tag,has_heartrate,has_kudoed,heartrate_opt_out,id,kudos_count,manual,map.id,map.resource_state,map.summary_polyline,max_speed,moving_time,name,photo_count,pr_count,private,resource_state,start_date,start_date_local,start_latitude,start_latlng1,start_latlng2,start_longitude,timezone,total_elevation_gain,total_photo_count,trainer,type,upload_id,upload_id_str,utc_offset,visibility,average_cadence,average_temp,average_watts,device_watts,gear_id,kilojoules,location_country,max_watts,suffer_score,weighted_average_watts,workout_type
0,1,16188172,1,3.3372,0,FALSE,FALSE,0.3327,551,1522.7,1520.9,44.932386,-116.069002,F13CC88C-4CDB-44D3-8C30-C1AA22F4B705,FALSE,FALSE,FALSE,FALSE,FALSE,633543302,1,FALSE,a633543302,2,ylfqGnolcUqHJ_ClE,5.4,359,Lunch Activity,0,0,FALSE,2,2016-07-07T18:21:03Z,2016-07-07T12:21:03Z,44.930212,44.930212,-116.067914,-116.067914,(GMT-07:00) America/Boise,0,0,FALSE,StandUpPaddling,695944063,695944063,-21600,everyone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,16188172,1,15.649200000000002,0,FALSE,FALSE,4.0379000000000005,932,1544.4,1526.2,44.911163,-116.098357,DCC16EFB-31E5-49C7-A431-4E5B3050DAC2,FALSE,FALSE,FALSE,FALSE,FALSE,633556786,1,FALSE,a633556786,2,w~eqGdslcUxF{GiCjYrClbB`PjRnNzACtGpM|EbGxEz@jDj_@zED~BhFtG,30.96,929,Afternoon Ride,0,0,FALSE,2,2016-07-07T20:48:28Z,2016-07-07T14:48:28Z,44.927963,44.927963,-116.068509,-116.068509,(GMT-07:00) America/Boise,0,0,FALSE,Ride,695967594,695967594,-21600,everyone,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,10
0,1,16188172,1,14.706,0,FALSE,FALSE,4.5181000000000004,1369,1546.5,1526.2,44.928599,-116.067662,B3646A0C-2F95-446F-90C9-BD24E8A62379,FALSE,FALSE,FALSE,FALSE,FALSE,633644595,1,FALSE,a633644595,2,umbqGvbscUu@VeEiUsF{GDcCw_@}E{@oDqGcFyLoECgH{Ks@yNgN}CyRwAarAtBoWs@yB{DzHkCwC,33.480000000000004,1106,Afternoon Ride,0,0,FALSE,2,2016-07-07T22:47:32Z,2016-07-07T16:47:32Z,44.909874,44.909874,-116.101719,-116.101719,(GMT-07:00) America/Boise,19.9,1,FALSE,Ride,696130165,696130165,-21600,everyone,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,10
0,1,16188172,1,9.1188,0,FALSE,FALSE,8.6855,3716,1618.5,1523.5,44.936909,-116.074193,D0E49D3C-49D2-45B4-8364-A73CE0FA6C21,FALSE,FALSE,FALSE,FALSE,FALSE,634208711,1,FALSE,a634208711,2,_vgqGjwmcUoHgAf@kEqQ{MmRg@_UoFuHd@iRlGgCxD[nJoIlGs[qBwBbDz@pB}@~@lElAoR~F[dBdE]JjDyGM_CpEj@xCxDhC]pCbDdA^}JhDkDq@cIeBKbJ_@|ByDhG_BjEOzGtFfJaCdOhDt@kOnDqC`FlDlFqBfGzDlFaA[zBtDpF~CwBdF~AfBy@`@uHhA{@xNeD`Hj@,19.44,3429,Morning Run,0,0,FALSE,2,2016-07-08T14:39:09Z,2016-07-08T08:39:09Z,44.936808,44.936808,-116.074299,-116.074299,(GMT-07:00) America/Boise,136.4,0,FALSE,Run,697274701,697274701,-21600,everyone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
0,1,16188172,1,15.177600000000002,0,FALSE,FALSE,1.8004,428,1546.8,1535,44.928608,-116.067876,F7A6D9A2-7A46-45EE-9A69-B7D72DE9E295,FALSE,FALSE,FALSE,FALSE,FALSE,634217090,1,FALSE,a634217090,2,svgqGrvmcUpF@pJkFhHRzLfFfOD~@yAsB{EzAiKIyJsFiE,29.52,427,Morning Ride,0,0,FALSE,2,2016-07-08T15:43:32Z,2016-07-08T09:43:32Z,44.936901,44.936901,-116.074179,-116.074179,(GMT-07:00) America/Boise,11.4,0,FALSE,Ride,697289036,697289036,-21600,everyone,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,10
0,1,16188172,1,3.5028,0,FALSE,FALSE,1.3819000000000001,1565,1523.1,1520.9,44.930111,-116.067655,8458CD0B-CC52-4F00-811A-5DB982235189,FALSE,FALSE,FALSE,FALSE,FALSE,634441449,1,FALSE,a634441449,2,glfqGbolcUiIaEgIYgKjInExBtIiDfNSLsA,6.48,1420,Afternoon Activity,0,0,FALSE,2,2016-07-08T19:29:39Z,2016-07-08T13:29:39Z,44.93012,44.93012,-116.067851,-116.067851,(GMT-07:00) America/Boise,0,0,FALSE,StandUpPaddling,697660956,697660956,-21600,everyone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,1,16188172,1,5.0148,0,FALSE,FALSE,9.1478,7167,904.1,372.1,43.880991,7.773435,0E50A020-BD4E-422F-B723-AE07CD9196BF,FALSE,FALSE,FALSE,FALSE,FALSE,646160939,2,FALSE,a646160939,2,g}}jGgsbn@rBae@nAiDtGWjAuQlBuD_B{FoCkBjE`@sCwCnInFeCwGaDkCrEe@|BvC|EqEeEj@]{DuCmArFyD~CqJjAwLVvPjHg]aBaXpCcJyAeBbDtBg@zJz@nAd@eHtDiLQ_D|@Z~FkK_AeE`Am@xArCbAgD}BsC|CdAlC_InGqDXqTxFqJbBqOpA_Bs@gDhA}LdC}A`E_OlJsKlGwCtAfCCdFlBVb@eGlBe@aAkDfEo@uEfChAoA,29.16,6568,Baiardo,0,0,FALSE,2,2016-07-19T11:33:28Z,2016-07-19T13:33:28Z,43.903725,43.903725,7.719086,7.719086,(GMT+01:00) Europe/Rome,212.4,0,FALSE,Hike,712650885,712650885,7200,everyone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,1,16188172,1,5.2344,0,FALSE,FALSE,12.5085,9294,402.4,7.2,43.817288,7.827781,1C369DF3-72D1-47BB-8C5D-72FD5F051C2D,FALSE,FALSE,FALSE,FALSE,FALSE,649329674,1,FALSE,a649329674,2,ekyjGejmn@LkGpAm@iAmB?}MbHiNf@wGgB_DAiIsAkB`EsBlGaWfBeBt@kJnNqQf@sFcBuNvKqUn@_FpAA~AsM~DwKfAx@zHsE|JlBtGmAxN{NFyEtCuC~Dr@vDzJbGiGdAxCY|DjBhEtHsHtBfGzDf@rPmHhDdIbEKxLwFk@cKpJvAdW{AhG{K~FYrQyH|C{MdKcF~`@_c@dKyOdOc]pV{LzFOvHfMAz_@,44.28,8603,Walk to the beach,0,0,FALSE,2,2016-07-22T05:14:17Z,2016-07-22T07:14:17Z,43.880354,43.880354,7.773958,7.773958,(GMT+01:00) Europe/Rome,114.8,0,FALSE,Hike,716028831,716028831,7200,everyone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,1,16188172,1,6.631200000000001,0,FALSE,FALSE,11.9991,7130,399.3,4.7,43.817241,7.827725,2D0CD095-B00E-4D8F-913B-577078994B27,FALSE,FALSE,FALSE,FALSE,FALSE,652720575,2,FALSE,a652720575,2,skyjGsimn@j@Su@Nc@aG`C_Cw@uIhCaMlCeCdAaJmB}DGsI{AqAnEeBEkBrDuFzA{KtBsCn@mJxNeQj@oFaCaMpEmI|@yG|CqCh@{EjAQzG}YdKwC~JhCzFqAfHyFdFeHj@gFtCsBpD`BvCzGlGiErA~B|@~JlBQn@kCbDwBfE`HxSmHlD`IdA?nPeGUuKvKxAtUuAtFkKdZwI`DgNlKiFn`@yb@fCoGxHqIlMg[hUmL~GG|GhKlAj[m@rE,17.64,6515,Hike to the beach,0,0,FALSE,2,2016-07-25T06:09:43Z,2016-07-25T08:09:43Z,43.880421,43.880421,7.773866,7.773866,(GMT+01:00) Europe/Rome,109,1,FALSE,Hike,719673734,719673734,7200,everyone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,1,16188172,1,6.5196,0,FALSE,FALSE,12.0596,7017,403.2,5.2,43.817207,7.827729,3E380AB8-A9DD-47A0-A3CD-CCDB08BBEDB8,FALSE,FALSE,FALSE,FALSE,FALSE,655022326,1,FALSE,a655022326,2,ekyjG}hmn@aBoMfAjBhB_@eAyJv@uGfF}GjAgIqBaFB{I_BoAdEqBvJqZx@oJpN{Pr@qCwBwQnGgQnCsCr@{Ex@J`H_[vFCbD_DdHtChI}AzE_CjDsHfCuATkFhBqBtFfAnChHjGyEnAtB`@pKxBOdF_GtD|GtTsG|@nDdDfCzPcGc@qKdKrAnVsAjGuKtYsIrDmNvJ}E`SuRpBwFpG}DnXef@jCsIzUyLnH^dIjOg@d],26.64,6659,Back to the beach ,0,0,FALSE,2,2016-07-27T07:25:36Z,2016-07-27T09:25:36Z,43.88035,43.88035,7.773754,7.773754,(GMT+01:00) Europe/Rome,122.5,1,FALSE,Hike,722143777,722143777,7200,everyone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
